あーいん	あーいん 〈合う〉【活】あーたん、あーらん、
うっちぇー ふぃっちぇー すん	うっちぇー ふぃっちぇー すん 〈しき
うっとぅ	うっとぅ 〈年下、弟妹〉 【例】わんにんか
うっとぅ しーじゃ	うっとぅ しーじゃ〈年下年上、兄姉弟妹〉
うっちん	うっちん 〈ウコン〉 【例】うっちのー ち
うっとぅ まき	うっとぅ まき 〈おとみづわり〉【活】＝う
うっとぅ をぅない	うっとぅ をぅない 〈（兄から見た）妹〉
うっとぅ んぐゎ	うっとぅ んぐゎ 〈末っ子〉 【例】まーぬ
うでぃ まっくゎ	うでぃ まっくゎ 〈腕枕〉 【例】わらび
うっとぅばすん	うっとぅばすん 〈吹き飛ばす〉【活】うっ
うてぃら めー	うてぃら めー 〈拝所参り、お寺参り〉
うとぅ	うとぅ 〈音、便り、評判〉 【例】をぅどぅい
うっぴ	うっぴ 〈それだけの大きさ〉 【例】あいこー
うっぴぐゎー	うっぴぐゎー 〈それっぽち〉 【例】うっぴ
うっぴなー	うっぴなー 〈そんなに大きな〉 【例】うっ
うっぺーる	うっぺーる 〈そんなに大きな〉 【例】うっ
うとぅいむち	うとぅいむち 〈接待、おもてなし〉 【例】
うてぃちち	うてぃちち 〈落ち着き、沈着さ〉 【例】と
うどぅるかすん	うどぅるかすん 〈驚かす〉【活】うどぅる
うどぅきーん	うどぅきーん 〈商売で失敗する〉【活】うど
うとぅるさ むん	うとぅるさ むん 〈恐ろしいもの〉 【例】
うとぅげー なんどぅるー	うとぅげー なんどぅるー 〈顎がツ
うとぅすん	うとぅすん 〈移す〉【活】うとぅちゃん、う
うとぅすん	うとぅすん 〈落とす〉【活】うとぅちゃん、う
うとぅし むん	うとぅし むん 〈落とし物〉 【例】うとぅ
うとぅち あがち	うとぅち あがち 〈優劣、浮沈〉 【例】っ
う〜	う〜〈中称の指示詞〉
う なぎー	う なぎー 〈それぐらいの⻑さ〉 【例】「ち
う なげー	う なげー 〈そんなに⻑く〉 【例】っやー
うぬ／くぬ／あぬ ひゃー	うぬ／くぬ／あぬ ひゃー 〈そいつ／こ
うぬ／くぬ／あぬ よー	うぬ／くぬ／あぬ よー 〈その／この／
うふぃなー	うふぃなー 〈それだけの〉 【例】いっぺー
うふぃなー なーぬ	うふぃなー なーぬ 〈そんなに大きな〉
うどぅるちゅん	うどぅるちゅん 〈驚く〉【活】うどぅるち
うんにー	うんにー 〈その時〉 【例】うんにーから 
うびらじ ぐとぅ	うびらじ ぐとぅ 〈不意の出来事〉 【例】
うはち	うはち 〈お初〉 【例】なーだ たーがん て
うぶく	うぶく 〈神仏に供えるご飯〉 【例】ちーたち
うびーん	うびーん 〈憶える〉【活】うびたん、うびら
うびー	うびー 〈記憶〉 【例】あぬ っちょー ま
うふ〜	うふ〜〈多、大〉 【例】うふさん（多い）から
うふさに かたぢきるー	うふさに かたぢきるー 〈多数決〉 【例】
うふ そー むん	うふ そー むん〈そそっかしい者〉 【例】
うび っんぢゃすん	うび っんぢゃすん〈思い出す〉 【例】ち
うふ あや	うふ あや 〈大柄〉【活】うふ がら ぢん
うふ ぐぃー	うふ ぐぃー 〈大声〉 【例】うふぐぃー 
うびーなでぃー	うびーなでぃー 〈水撫で〉 【例】そーぐ
うふ ぐすーじ	うふ ぐすーじ 〈盛大な祝い〉 【例】と
うふ ぬすどぅ	うふ ぬすどぅ 〈大泥棒〉 【例】うふぬす
うー ぐとぅ	うー ぐとぅ 〈大ごと〉 【例】っやーや 
うふ ぢむー	うふ ぢむー 〈気前がいい者〉 【例】っう
うふ まちや	うふ まちや 〈大きな店〉 【例】うふまち
うふ むにー	うふ むにー 〈偉そうなことばを使うこと〉
うふ じん	うふ じん 〈大金〉 【例】うふじん ゐー
うふ すー	うふ すー 〈ご主人〉 【例】うふすーや 
うふ ちねー	うふ ちねー 〈大家族〉 【例】うふちねー
うふ むぬ いー	うふ むぬ いー 〈大言壮語〉 【例】うふ
うふ ちぶらー	うふ ちぶらー 〈頭でっかち〉 【例】ちぶ
うふ やー	うふ やー 〈本家〉 【例】うふやーんかえ
うふ にんじゅ	うふ にんじゅ 〈大人数〉 【例】なまぬ 
うふ やしー	うふ やしー 〈おとなしい者〉 【例】うふ
うふ わた	うふ わた 〈大きいお腹〉【活】うふ わた
うふ っんぶし	うふ っんぶし 〈重荷〉 【例】やっとぅか
うふ やっちー	うふ やっちー 〈⻑兄（士族）〉【活】うふ
うふ ゆくー	うふ ゆくー 〈強欲者〉 【例】どぅーぬ 
うふ ゆくし むにー さー	うふ ゆくし むにー さー 〈大嘘つき〉
うぶん にぢり	うぶん にぢり 〈握り飯〉 【参】「にぢり
うまんちゅ	うまんちゅ 〈多くの人〉 【例】しまくと
うみ〜	うみ〜〈〜様〉 【例】うみさとぅ (めー)、うみしーじゃ、うみたるーんでーんかい ちからっ
うみ	うみ 〈海〉
うみ あっちゃー	うみ あっちゃー 〈漁師〉 【例】うみあ
うみ がーみー	うみ がーみー 〈海⻲〉 【例】うみがーみ
うみ ばた	うみ ばた 〈海岸〉 【例】うみばたぬ ま
うぶちだん	うぶちだん 〈お仏壇〉 【例】あれー ちゃく
うみ っんまぐゎー	うみ っんまぐゎー 〈タツノオトシゴ〉
うまちー	うまちー 〈農耕のお祭り〉 【例】うまちー
うみかきーん	うみかきーん 〈お目にかける、ご覧にいれ
うみ やみー すん	うみ やみー すん〈思い悩む〉 【例】し
うみー くみー	うみー くみー 〈思いやり〉 【例】あれー
うみ たち	うみ たち 〈思い立ち〉 【例】うみたちど
うむいん	うむいん 〈思う〉【活】うむたん、うむらん、
うみ ちーん	うみ ちーん 〈思い切る〉 【例】すんでぃ
うむい ちみーん	うむい ちみーん 〈思いつめる〉【活】う
うみ ちり	うみ ちり 〈思い切り〉 【例】ゆーわたい
うみん ゆらん くとぅ	うみん ゆらん くとぅ 〈思いがけない
うむ かぢ	うむ かぢ 〈面影〉 【例】うむかぢぬ た
うむ むち	うむ むち 〈目的、わけ、顔つき〉 【例】
うみ ちーん	うみ ちーん 〈あきらめる〉 【例】うりと
うむ やー	うむ やー 〈好きな人、思いやりのある人〉
うみ はまいん	うみ はまいん 〈努力する、一生懸命する〉
うや がなしー	うや がなしー 〈親御〉 【例】うやがなし
うみ ゆいん	うみ ゆいん 〈思いおよぶ〉【活】うみゆた
うや っくゎ	うや っくゎ 〈親子〉 【例】なちやしみ 
うみ んぐゎ	うみ んぐゎ 〈お子さん〉 【例】うみんぐ
うむてぃ	うむてぃ 〈表〉 【例】たーんかい やてぃ
うむてぃ ぢら	うむてぃ ぢら 〈作り顔〉 【例】ちもー 
うや なけーし むん／うや なけーしんぐゎ	うや なけーし むん／うや なけーしんぐゎ 〈親不孝者〉 【例】うやなけーし
うや ぬちゃー＜	うや ぬちゃー＜ 〈両親〉 【例】いったー
うや までぃー	うや までぃー 〈親なし〉 【例】うやまで
うむる うそーし	うむる うそーし 〈おもろ御そうし〉
（うや）ふぁーふじ	（うや）ふぁーふじ 〈祖先〉 【例】うち
うめーし、めーし	うめーし、めーし 〈お箸、箸〉 【例】まか
うや まさいんぐゎ	うや まさいんぐゎ 〈親勝りの子〉 【例】
うや	うや 〈親〉 【例】うや ゆし っくゎ ゆし。
うや がかい	うや がかい 〈親の庇護の下にあること〉
うやぎー	うやぎー 〈お祝いの金銭や物資の援助〉 【例】
うゆばん	うゆばん 〈及ばない〉 【例】ちゃっさ さ
うゆうぇー／うーうぇー	うゆうぇー／うーうぇー 〈お祝い〉
うらんだー	うらんだー 〈⻄洋人〉 【例】うらんだすが
うら	うら 〈裏〉 【参】うむてぃ。
うら じゃ	うら じゃ 〈裏座〉 【例】うらじゃー う
うり さい／たい	うり さい／たい 〈ほら（目上に）〉 【例】
うらごーさ	うらごーさ〈嫉妬、ねたみ〉 【例】どぅーや
うら むにー	うら むにー 〈逆のことを言うこと〉 【例】
うりーっさ、うり ひゃー	うりーっさ、うり ひゃー 〈それっ
うらーきーん	うらーきーん 〈水に浸す〉【活】うらきた
うり／あり／くり	うり／あり／くり 〈それ／あれ／これ〉
うりかー／ありかー／くりかー	うりかー／ありかー／くりかー 〈そ
っんまかー	っんまかー 〈その辺り〉 【例】うぬくる 
うり からー	うり からー 〈それから、それ以後は〉
うり くる	うり くる〈その人自身で〉 【例】うっぴぐ
うり よー あり よー	うり よー あり よー 〈あたらずさわ
うるすん	うるすん 〈下ろす〉【活】うるちゃん、うるさ
うるにー なまにー すん	うるにー なまにー すん 〈半煮え
うんぐとーるー	うんぐとーるー 〈そんなもの〉 【例】な
うりーん	うりーん 〈降りる〉【活】うりたん、うりら
うりーん	うりーん 〈売れる〉【活】うりたん、うりら
〜うるみ	〜うるみ 〈〜頃〉 【例】うちなーぐゆみぬ
うりー	うりー 〈潤い〉 【例】ゐー うりー なてぃ
うわいん	うわいん 〈終わる〉【活】うわたん、うわら
うりじん	うりじん 〈旧暦 2〜3 月、初春〉 【例】うりじんべーぬ ふちーねー、ゐーはだむち なて
うんけー すん	うんけー すん 〈お迎えする〉【活】〜さ
うる	うる 〈砂、砂利、珊瑚の骨軸〉 【例】くまぬ
うんじゅ	うんじゅ 〈あなた様、ご自身〉 【例】うぬ
うんじゅ なー	うんじゅ なー〈あなた様（さらに丁寧に）〉
うんち／ぬんち／みゅんち	うんち／ぬんち／みゅんち 〈お顔〉
うんちょーび／ぬんちょーび／みゅんちょーび	うんちょーび／ぬんちょーび／みゅんちょーび 〈髪の敬称〉 【例】から
うんぬかゆん	うんぬかゆん 〈お聞きになる〉【活】うんぬ
うんちぇー すん	うんちぇー すん 〈お借りする〉【活】〜
うんぬきーん	うんぬきーん 〈申し上げる〉【活】うんぬき
うんちけー する	うんちけー する 〈案内、お迎え、ご招
